com.apple.iPhoto,_NSLeakWindowGraphicsContextOnCreationDefaultValueFunction,__NSCreateWindowWithOpaqueShape2
com.apple.iPhoto,,
com.apple.iPhoto,_NSCGSWindowBackingStoreAutoflushDefaultValueFunction,-[_NSCGSWindowBackingStore dirtyBackBufferInRegion:]
com.apple.iPhoto,___58-[NSWindow(NSFullScreen) _supportsDockInitiatedFullScreen]_block_invoke,
com.apple.iTunes,_NSFullScreenMenuItemEverywhereDefaultValueFunction,-[NSApplication _addFullScreenMenuItemIfNeeded]
com.apple.iTunes,_NSViewBackingLayerNeedsLayoutOnGeometryChangeDefaultValueFunction,+[_NSViewBackingLayer defaultValueForKey:]
com.apple.iTunes,_NSLevelIndicatorRatingUseLegacyDrawMethodDefaultValueFunction,-[NSLevelIndicatorCell drawInteriorWithFrame:inView:]
com.apple.iWeb,-[NSApplication _shouldDelayDocumentReopeningUntilAfterFinishLaunching],
com.apple.iWeb,+[NSDocument _stillObservesWillCloseUndoGroup],
com.apple.iWeb,_NSCoreUIImageRepDrawingTransparencyLayerUsesRectDefaultValueFunction,-[NSCoreUIImageRep draw]
com.apple.iWeb,___48-[__NSFastEnumerationEnumerator initWithObject:]_block_invoke,___NSFastEnumerationMutationHandler
com.apple.iWeb,_____CFHandleFinishedEnumerating_block_invoke,
com.apple.iWork.Keynote,+[NSFontManager initialize],
com.apple.iWork.Keynote,-[NSApplication _shouldDelayDocumentReopeningUntilAfterFinishLaunching],
com.apple.iWork.Keynote,+[NSEvent addLocalMonitorForEventsMatchingMask:handler:],
com.apple.iWork.Keynote,+[NSDocument _stillObservesWillCloseUndoGroup],
com.apple.iWork.Keynote,-[NSWindow _effectiveOrderFrontAnimationTypeIfModal:],
com.apple.iWork.Keynote,-[NSSplitView adjustSubviews],
com.apple.iWork.Keynote,_NSDisableContentPreservationForAnimatedResizeDefaultValueFunction,-[NSMoveHelper _doAnimation]
com.apple.iWork.Keynote,__NSScrollViewRubberbandingForScrollView,-[NSScrollingBehavior scrollView:responderToForwardScrollEvents:]
com.apple.iWork.Keynote,-[NSSplitView _regionForOpaqueDescendants:forMove:],_isDescendantOfViewScrolling
com.apple.iWork.Keynote,_NSImageRoundDestRectInCompositeMethodsDefaultValueFunction,-[NSImage _composite:delta:fromRect:toPoint:]
com.apple.iWork.Keynote,_NSOutlineViewAnimateAllExpandsDefaultValueFunction,-[NSOutlineView expandItem:expandChildren:]
com.apple.iWork.Keynote,___84-[NSDocument _replacementTypeForSaveAsInsteadOfMoveToURL:modifiedURL:hideExtension:]_block_invoke,
com.apple.iWork.Keynote,___84-[NSDocument _replacementTypeForSaveAsInsteadOfMoveToURL:modifiedURL:hideExtension:]_block_invoke,
com.apple.iWork.Keynote,-[NSDocumentController allowsAutomaticShareMenu],
com.apple.iWork.Keynote,-[NSDocumentController _persistenceMustOpenDocumentsThroughApplicationDelegate],
